"","DEU1","DEU2","DEU3","DEU4","DEU5","DEU6","DEU7","DEU8","DEU9","DEU10","DEU11","DEU12","DEU13","DEU14","DEU15","DEU16","DEU17","DEU18","DEU19","DEU20","DEU21","DEU22","DEU23","DEU24","DEU25","DEU26","DEU27","DEU28","DEU29","DEU30","DEU31","DEU32","DEU33","DEU34","DEU35","DEU36","DEU37","DEU38","DEU39","DEU40","DEU41","DEU42","DEU43","DEU44","DEU45","DEU46","DEU47","DEU48","DEU49","DEU50","DEU51","DEU52","DEU53","DEU54","DEU55","DEU56"
"V561","2.630580e+03","1.442932e+02","2.261072e-02","7.778201e+00","3.580683e+04","6.677030e+01","4.398518e+00","4.761877e+00","1.015975e+00","8.451564e+00","1.536678e+02","1.132421e+02","4.154241e+02","4.966419e+00","3.955649e+00","2.157348e+01","5.945750e+00","6.410945e+00","1.530848e+01","4.685336e+01"," 1.454878e+00","3.898894e+00","2.860238e+00","1.284610e+01","1.039250e+00","6.270740e+00","4.519910e+01","1.931755e+00","1.780837e+02","6.263806e+01","2.975356e+00","1.491950e+01","5.043142e-01","7.292533e+00","9.396432e-01","5.184705e+02","7.946884e-01","8.310438e-01","2.578450e+00","2.396706e+00","3.560013e+00","1.994709e+00","2.627959e-01","7.226049e+01","3.092934e+00","1.390247e+00","7.016391e+00","5.370038e-01","5.768467e+00","2.859746e+02","5.131102e+02","3.123310e+01","3.814081e+02","6.465008e+01","   0.000","0"
"V562","4.989669e+01","9.535943e+02","2.105451e-02","2.005651e+01","1.623414e+01","1.032770e+00","1.805740e+03","1.139106e+02","4.904793e-01","9.184258e-01","2.445209e+01","2.481782e+00","2.491280e+01","4.569976e+00","2.553199e+00","1.834009e+01","2.731314e+00","2.331805e+00","8.623729e+00","7.348969e+00"," 9.660217e+00","1.103730e+02","2.181290e+00","5.455280e+00","2.702623e-01","9.145679e-01","1.108537e+02","3.777036e-01","2.681565e+00","2.764835e+00","4.782521e-01","1.323901e-02","2.040901e-02","1.000877e+00","1.335517e-01","9.400101e+00","9.930222e-02","2.148557e-01","6.134152e-01","1.191871e+00","3.172869e-01","1.537716e-01","6.580900e-02","2.260173e+00","3.823376e-01","5.513345e+00","4.074198e-01","9.942744e-01","5.103827e-01","1.975429e+01","8.305810e+00","2.178246e+00","6.970595e+00","2.501175e+01","   0.000","0"
"V563","2.758074e-02","0.000000e+00","6.334840e+00","2.610425e-02","8.779758e+01","8.228327e-03","3.805640e-03","2.144273e-02","1.516771e-02","3.069031e-03","2.988688e-01","3.220536e-01","2.514530e-02","1.812236e-02","1.779349e-02","7.003192e-02","4.452148e-02","6.047001e-02","1.059263e-01","1.738919e-01"," 1.923292e-02","9.522066e-01","4.595624e-02","0.000000e+00","0.000000e+00","0.000000e+00","8.189304e-02","0.000000e+00","4.183742e-01","1.442314e-01","4.098929e-03","2.339599e-01","7.711713e-03","4.730737e-03","0.000000e+00","1.776721e+01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.675224e-01","0.000000e+00","6.504368e+00","7.785081e-01","   0.000","0"
"V564","1.401937e+01","5.427670e-01","5.681804e-02","2.974554e+01","7.149620e+01","7.113820e+00","8.282967e+00","1.963808e+01","2.800086e+00","1.217588e+03","1.024864e+02","7.953069e+00","3.008915e+01","9.679454e+01","2.374793e+02","3.123804e+01","1.267591e+01","3.468075e+01","6.167906e+01","8.111107e+01"," 8.786036e+00","1.371452e+01","1.361245e+01","4.286368e+02","5.645917e+00","1.314869e+01","1.493082e+02","8.651134e+00","3.067556e+01","5.412034e+01","1.686608e+01","6.906136e+00","9.697221e+00","1.343999e+01","2.373514e+00","2.476464e+01","2.398218e+00","1.916294e+00","1.084822e+01","6.600211e+00","1.662660e+01","5.958305e+00","2.102164e+00","2.869523e+01","1.322313e+01","1.132101e+01","4.112620e+00","2.104831e+00","2.649301e+00","1.751894e+01","4.284716e+01","8.760714e+00","3.021629e+01","1.332106e+01","   0.000","0"
"V565","3.878784e+03","5.275095e+00","5.360086e-01","2.062441e+01","3.165082e+04","8.420606e+01","4.270225e+01","6.372903e+01","2.637813e+01","1.477370e+02","2.603552e+03","4.979475e+02","1.211012e+02","7.834000e+01","1.126362e+02","1.538102e+02","1.422836e+02","1.455914e+02","2.770795e+02","3.429894e+02"," 4.333763e+01","1.491899e+02","8.420556e+01","8.684171e+01","5.320574e+00","4.437262e+01","5.352178e+02","3.829306e+01","3.450032e+02","2.341408e+02","3.725290e+01","1.852502e+02","2.938067e+01","5.879853e+01","7.040962e+00","1.203325e+04","1.332588e+01","1.988717e+01","5.532395e+01","4.217819e+01","6.845468e+01","2.322035e+01","7.500313e+00","1.149319e+02","5.458824e+01","3.595587e+01","5.863394e+01","9.097616e+00","2.165372e+01","8.142312e+01","2.496650e+03","3.821109e+02","7.562302e+03","2.624099e+02","   0.000","0"
"V566","1.826326e+01","9.578282e-01","1.123566e-01","1.360011e+00","6.534180e+01","1.003556e+01","8.043996e+00","1.179674e+01","4.545337e+00","6.733757e+00","2.855793e+01","1.216586e+01","3.415608e+01","1.042558e+01","1.152097e+01","2.964956e+01","2.124251e+01","2.938001e+01","5.156743e+01","8.709334e+01"," 8.878278e+00","1.874579e+01","1.110714e+01","1.326614e+01","9.280849e-01","7.130290e+00","1.151118e+02","9.957406e+00","2.603143e+01","3.303829e+01","6.827929e+00","1.614096e+00","1.647852e+00","7.336939e+00","1.568423e+00","3.070470e+01","3.991487e+00","1.740045e+00","9.625610e+00","1.127576e+01","1.320752e+01","4.565135e+00","1.873476e+00","1.901125e+01","1.054165e+01","7.094362e+00","3.296933e+00","2.109273e+00","2.670424e+00","2.384121e+01","2.290183e+01","6.606589e+00","6.073025e+01","1.570667e+01","   0.000","0"
"V567","7.761543e+01","1.664659e+02","8.992213e-01","6.609973e+01","2.292895e+02","3.113815e+01","4.780408e+03","3.373636e+02","1.383228e+01","2.060665e+01","2.308036e+02","5.309380e+01","1.413516e+02","9.978982e+01","1.004211e+02","2.637458e+02","1.025694e+02","9.639294e+01","3.516385e+02","3.321899e+02"," 3.758000e+02","1.755359e+03","7.535568e+01","2.265819e+02","1.084582e+01","3.922502e+01","4.091372e+03","2.237760e+01","1.050794e+02","1.109077e+02","2.504542e+01","1.453161e+00","1.196295e+00","4.337421e+01","5.236119e+00","8.210654e+01","2.848671e+00","8.803090e+00","2.756107e+01","9.567328e+00","1.445383e+01","7.371136e+00","2.884665e+00","1.053919e+02","1.909002e+01","2.506757e+01","1.185540e+01","3.922991e+01","2.085479e+01","2.027827e+02","1.132305e+02","8.818584e+01","7.172104e+01","5.684565e+02","   0.000","0"
"V568","4.165170e+01","7.052727e+00","2.193122e+00","7.550650e+01","2.365395e+03","2.101582e+02","1.847511e+02","8.325321e+03","2.807990e+03","7.326737e+01","1.148081e+03","3.896588e+02","3.568801e+02","2.177221e+02","6.989269e+01","2.577646e+02","3.075128e+02","3.663510e+02","3.151829e+02","2.235966e+02"," 5.107657e+01","3.225037e+02","7.397348e+01","7.436086e+01","4.450654e+00","2.012522e+01","4.206581e+02","2.112636e+01","7.864875e+02","7.961287e+02","2.569953e+01","4.532355e+00","6.105722e+00","4.555847e+01","1.555801e+01","6.694549e+01","2.682511e+02","1.965257e+01","3.419697e+01","1.143134e+02","1.245490e+02","2.394776e+01","6.954042e+00","3.519471e+01","2.011437e+02","1.073033e+02","4.397916e+01","7.257921e+01","8.256557e+01","2.330817e+02","1.019407e+02","4.580596e+01","2.895926e+02","8.250075e+01","   0.000","0"
"V569","3.309299e+01","6.118705e+00","1.128102e+00","2.113683e+01","2.515020e+02","1.439352e+02","6.268821e+01","1.883958e+02","2.630125e+03","3.868688e+01","1.843847e+02","9.203542e+01","1.321189e+02","6.622567e+01","1.204409e+02","1.624870e+02","2.023996e+02","2.051744e+02","3.782935e+02","5.499493e+02"," 5.198956e+01","2.295169e+02","6.082858e+01","1.021120e+02","1.111434e+01","1.229906e+02","1.364981e+02","2.024930e+02","5.220051e+02","2.171844e+03","1.117116e+02","6.719912e+00","1.608756e+01","6.280917e+01","2.440191e+02","7.231884e+01","3.137872e+03","5.163836e+02","5.098095e+02","1.039377e+03","1.105253e+03","1.922768e+02","1.702742e+01","8.076183e+01","8.149655e+02","2.488097e+02","7.275912e+01","2.168007e+02","2.017339e+02","8.819159e+02","9.169326e+02","3.118841e+02","4.300221e+02","3.435101e+02","   0.000","0"
"V570","7.975204e+02","3.149461e+01","4.447543e+00","1.330476e+02","5.247796e+02","9.055193e+01","8.677837e+01","1.216659e+02","3.499350e+01","4.733718e+03","4.830095e+03","1.663534e+02","2.712070e+02","4.500784e+02","1.386675e+03","1.935322e+02","1.553148e+02","2.190173e+02","3.548310e+02","3.836099e+02"," 1.192350e+02","1.579828e+02","8.664194e+01","1.169628e+03","2.270909e+01","1.639064e+02","1.826655e+03","1.263145e+02","1.509765e+03","4.454635e+02","1.095129e+03","1.034535e+03","3.680719e+03","1.181075e+03","1.831343e+02","1.788862e+02","6.542824e+01","5.888952e+01","6.782249e+01","1.171650e+02","5.761285e+01","2.376831e+01","1.745197e+01","4.745853e+01","1.386755e+02","5.812353e+01","4.067670e+01","2.546542e+01","5.447254e+01","3.642990e+02","8.536801e+02","1.456516e+02","3.491790e+02","3.362221e+02","   0.000","0"
